medicine,description_url,company,company_url,price
WYPAL,//www.medicineindia.org/medicine-brand-details/5998/wypal,Jagsonpal Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/151/jagsonpal-pharmaceuticals-ltd,9.20
WIKORYL,//www.medicineindia.org/medicine-brand-details/672/wikoryl,Alembic Ltd.,//www.medicineindia.org/medicine-manufacturing-company/52/alembic-ltd,28.00
WORMIN,//www.medicineindia.org/medicine-brand-details/7043/wormin,Cadila Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/27/cadila-pharmaceuticals-ltd,11.61
WALADROX,//www.medicineindia.org/medicine-brand-details/3868/waladrox,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,14.81
WIDCEF,//www.medicineindia.org/medicine-brand-details/3990/widcef,Elder Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/88/elder-pharmaceuticals-ltd,130.00
WORMIN-A,//www.medicineindia.org/medicine-brand-details/7177/wormin-a,Le Sante,//www.medicineindia.org/medicine-manufacturing-company/443/le-sante,12.63
WORMPEL,//www.medicineindia.org/medicine-brand-details/7178/wormpel,Aglowmed Limited,//www.medicineindia.org/medicine-manufacturing-company/247/aglowmed-limited,18.89
WOMIBAN,//www.medicineindia.org/medicine-brand-details/7175/womiban,Blue Cross Laboratories Ltd.,//www.medicineindia.org/medicine-manufacturing-company/67/blue-cross-laboratories-ltd,23.00
WINOPAR,//www.medicineindia.org/medicine-brand-details/844/winopar,Intas Pharmaceuticals Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/17/intas-pharmaceuticals-pvt-ltd,20.50
WINTOMYLON,//www.medicineindia.org/medicine-brand-details/4621/wintomylon,Manufacturer Not Mentioned,//www.medicineindia.org/medicine-manufacturing-company/43/manufacturer-not-mentioned,26.65
WINTOMYLON,//www.medicineindia.org/medicine-brand-details/4621/wintomylon,Manufacturer Not Mentioned,//www.medicineindia.org/medicine-manufacturing-company/43/manufacturer-not-mentioned,47.20
WISOFLOX,//www.medicineindia.org/medicine-brand-details/5075/wisoflox,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,26.50
WISKORID,//www.medicineindia.org/medicine-brand-details/10810/wiskorid,Wisdom Pharma Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/423/wisdom-pharma-pvt-ltd,28.50
WAFER.,//www.medicineindia.org/medicine-brand-details/18114/wafer,Wave Bio-Tech Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/273/wave-bio-tech-pvt-ltd,64.90
WARCLAV,//www.medicineindia.org/medicine-brand-details/3406/warclav,Parke - Davis (India) Ltd.,//www.medicineindia.org/medicine-manufacturing-company/144/parke-davis-india-ltd,83.50
WALTUZ,//www.medicineindia.org/medicine-brand-details/10673/waltuz,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,29.00
WYMOX,//www.medicineindia.org/medicine-brand-details/3321/wymox,Wyeth Lederle Limited,//www.medicineindia.org/medicine-manufacturing-company/9/wyeth-lederle-limited,25.89
WYMOX,//www.medicineindia.org/medicine-brand-details/3321/wymox,Wyeth Lederle Limited,//www.medicineindia.org/medicine-manufacturing-company/9/wyeth-lederle-limited,45.21
WINOPAR,//www.medicineindia.org/medicine-brand-details/844/winopar,Intas Pharmaceuticals Pvt. Ltd.,//www.medicineindia.org/medicine-manufacturing-company/17/intas-pharmaceuticals-pvt-ltd,18.00
WALAMYCIN,//www.medicineindia.org/medicine-brand-details/6098/walamycin,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,23.05
WALAMYCIN,//www.medicineindia.org/medicine-brand-details/6098/walamycin,Wallace Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/148/wallace-pharmaceuticals-ltd,42.00
WYPAL,//www.medicineindia.org/medicine-brand-details/5998/wypal,Jagsonpal Pharmaceuticals Ltd.,//www.medicineindia.org/medicine-manufacturing-company/151/jagsonpal-pharmaceuticals-ltd,5.92
